2026-04-25 20:08:54,426 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 23:50:45,517 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 23:51:04,394 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 23:54:27,833 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 23:54:27,833 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 23:57:49,685 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 23:57:49,686 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-26 00:07:49,854 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-26 00:07:49,855 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-26 16:28:46,613 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-26 16:33:34,675 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:33:42,949 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:34:43,386 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:36:04,324 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:36:16,967 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:36:31,028 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-26 16:36:31,028 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-26 16:38:50,542 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-26 16:38:50,543 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-26 16:39:13,003 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:40:48,991 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-26 16:43:11,737 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-26 16:43:11,738 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-26 16:43:28,032 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
